WACC,Terminal_Growth,Enterprise_Value,Equity_Value
8.0%,1.50%,339063466.89342904,342258285.90342903
8.0%,2.00%,361479492.6351111,364674311.6451111
8.0%,2.50%,387971159.4207351,391165978.4307351
8.0%,3.00%,419761159.5634841,422955978.57348406
8.0%,3.50%,458615604.1823994,461810423.1923994
9.0%,1.50%,293186036.5383017,296380855.5483017
9.0%,2.00%,309235220.3281579,312430039.3381579
9.0%,2.50%,327753509.31645346,330948328.32645345
9.0%,3.00%,349358179.8027983,352552998.81279826
9.0%,3.50%,374890972.1957512,378085791.2057512
10.0%,1.50%,258123109.99380934,261317929.00380933
10.0%,2.00%,270069552.36150295,273264371.37150294
10.0%,2.50%,283608853.71155554,286803672.72155553
10.0%,3.00%,299082340.9687587,302277159.9787587
10.0%,3.50%,316936364.7270699,320131183.7370699
11.0%,1.50%,230458799.65063086,233653618.66063085
11.0%,2.00%,239622274.99731782,242817094.0073178
11.0%,2.50%,249863806.2671444,253058625.2771444
11.0%,3.00%,261385528.9456993,264580347.9556993
11.0%,3.50%,274443481.31472814,277638300.32472813
12.0%,1.50%,208078546.35642323,211273365.36642322
12.0%,2.00%,215277292.4504246,218472111.4604246
12.0%,2.50%,223233801.29116297,226428620.30116296
12.0%,3.00%,232074366.66976112,235269185.6797611
12.0%,3.50%,241954998.56348848,245149817.57348847
